norad,name,pool,n_tle,n_plotted,i_mean_deg,lambda_crit,is_resonant,resonance_year,n_crossings,decay_year,first_year,last_year,note,csv_path
27901,27901 Cosmos1261 deb,original97,2824,800,65.6678,10060.8825,0,,0,2025.5428,2003.8137,2025.4869,,data_fullpool/obj_27901.csv
41679,41679 SL-12 deb,original97,532,532,64.3275,9919.2929,0,,0,2025.3457,2016.5743,2020.9126,,data_fullpool/obj_41679.csv
44892,44892 SL-12 deb,original97,21,21,64.6866,9958.8953,0,,0,2025.3484,2020.0178,2020.1350,,data_fullpool/obj_44892.csv
45036,45036 SL-12 deb,original97,220,220,64.5637,9945.4820,0,,0,2025.3484,2020.0575,2021.3992,,data_fullpool/obj_45036.csv
44563,44563 SL-12 deb,original97,29,29,65.9464,10088.2165,0,,0,2025.3484,2019.7473,2019.8790,,data_fullpool/obj_44563.csv
3553,3553 Cosmos252 deb,original97,5416,800,62.2691,9667.0722,0,,0,2004.5572,1968.9568,2004.5574,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_3553.csv
18983,18983 SL-6 R/B(2),original97,1250,800,63.6983,9846.8395,1,1993.7146,4,2002.0602,1988.2106,2001.7476,,data_fullpool/obj_18983.csv
832,832 SL-3 R/B,original97,791,791,64.9247,9984.4787,0,,0,1983.6427,1964.5444,1983.4005,,data_fullpool/obj_832.csv
8844,8844 SL-6 R/B(2),original97,732,732,63.6920,9846.0929,0,,0,1990.3395,1976.3720,1990.1003,,data_fullpool/obj_8844.csv
13112,13112 SL-6 R/B(2),original97,652,652,64.5210,9940.7903,1,1991.1125,4,1992.8693,1982.2275,1993.4832,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_13112.csv
28141,28141 CZ-2C R/B,original97,537,537,25.0284,10904.9176,0,,0,2007.7823,2004.0272,2007.7826,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_28141.csv
2924,2924 SL-6 R/B(2),original97,367,367,53.1615,7808.9795,0,,0,1978.2820,1968.4647,1977.6675,,data_fullpool/obj_2924.csv
8529,8529 SL-6 R/B(2),original97,335,335,64.0882,9892.1979,0,,0,1986.7803,1976.0356,1986.4630,,data_fullpool/obj_8529.csv
19881,19881 Cosmos931 deb,original97,299,299,59.5090,9252.8606,1,1993.1491,1,1993.1622,1979.7270,1993.1601,,data_fullpool/obj_19881.csv
32971,32971 Cosmos1409 deb,original97,153,153,64.2816,9914.1399,0,,0,2010.2026,2008.4297,2009.9097,,data_fullpool/obj_32971.csv
5980,5980 Titan3C TS deb,original97,138,138,26.3582,10731.4868,1,1975.2702,6,1976.2779,1971.7035,1975.2702,,data_fullpool/obj_5980.csv
21962,21962 SL-6 deb,original97,112,112,63.3246,9801.9124,0,,0,1992.4641,1990.7269,1992.3755,,data_fullpool/obj_21962.csv
4049,4049 SL-6 R/B(2),original97,73,73,64.9806,9990.4091,0,,0,1971.4374,1969.5742,1971.2974,,data_fullpool/obj_4049.csv
24821,24821 Ariane44L R/B,original97,41,41,7.2056,12240.3721,0,,0,1997.4223,1997.4229,1997.8852,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_24821.csv
5960,5960 Delta1 deb,original97,37,37,26.5949,10699.2516,0,,0,1973.4825,1972.3575,1973.1596,,data_fullpool/obj_5960.csv
5974,5974 Delta1 deb,original97,27,27,24.8946,10921.6607,0,,0,1975.6044,1972.2877,1972.9017,,data_fullpool/obj_5974.csv
5735,5735 Delta1 deb,original97,23,23,26.8228,10667.8089,0,,0,1973.1841,1972.0018,1972.8417,,data_fullpool/obj_5735.csv
23572,23572 Ariane44LP+3 R/B,original97,23,23,7.3071,12237.1696,0,,0,1995.8645,1995.3992,1995.6756,,data_fullpool/obj_23572.csv
5961,5961 Delta1 deb,original97,17,17,26.4492,10719.1480,0,,0,1973.4825,1972.2865,1973.2414,,data_fullpool/obj_5961.csv
19558,19558 H-1 R/B(2),original97,15,15,28.0495,10491.5443,0,,0,1989.4552,1988.7808,1989.1499,,data_fullpool/obj_19558.csv
21670,21670 H-1 R/B(2),original97,12,12,28.6026,10408.0078,0,,0,1992.3299,1991.6497,1992.2778,,data_fullpool/obj_21670.csv
4570,4570 SL-6 R/B(2),original97,74,74,65.7661,10070.6121,1,1972.3876,1,1972.4120,1970.7980,1972.3876,,data_fullpool/obj_4570.csv
4431,4431 SL-6 R/B(2),original97,234,234,65.4339,10037.3891,0,,0,1976.1656,1970.5079,1976.1121,,data_fullpool/obj_4431.csv
8080,8080 Pageos1 deb,original97,126,126,83.2242,10588.7550,0,,0,1977.0554,1975.6196,1977.0383,,data_fullpool/obj_8080.csv
2805,2805 Cosmos159,original97,400,400,53.2144,7825.3136,0,,0,1977.9288,1967.7487,1977.7764,,data_fullpool/obj_2805.csv
10724,10724 AtlasCentaur deb,original97,105,105,26.7380,10679.5581,1,1980.6713,1,1982.6626,1978.2315,1981.6031,,data_fullpool/obj_10724.csv
830,830 Elektron4,original97,725,725,64.7671,9967.6059,0,,0,1983.7769,1964.5540,1983.6847,,data_fullpool/obj_830.csv
7352,7352 Cosmos665,original97,927,800,65.5269,10046.7897,0,,0,1990.5092,1974.4934,1990.4040,,data_fullpool/obj_7352.csv
28943,28943 Arabsat4,original97,20,20,51.5373,7248.4933,0,,0,2006.2245,2006.1628,2006.2232,,data_fullpool/obj_28943.csv
28140,28140 Doublestar TC-1,original97,583,583,25.3712,10861.4254,1,2007.7825,1,2007.7823,2004.0175,2007.7825,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_28140.csv
3138,3138 OGO5,original97,750,750,50.4144,6773.1862,0,,0,2011.4976,1968.9597,2011.4780,,data_fullpool/obj_3138.csv
37798,37798 ExpressAM-4,original97,168,168,51.1031,7075.1904,0,,0,2012.2286,2011.6268,2012.2287,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_37798.csv
32491,32491 BreezeM deb,original97,580,580,51.4712,7222.8606,0,,0,2016.1547,2008.1345,2013.8751,,data_fullpool/obj_32491.csv
879,879 OGO1,original97,1611,800,72.8440,10558.9061,0,,0,2020.6585,1964.9774,2020.6359,,data_fullpool/obj_879.csv
44911,44911 CZ-5 R/B,original97,510,510,15.3149,11835.9410,1,2022.3318,1,2022.3368,2019.9870,2022.3318,,data_fullpool/obj_44911.csv
44482,44482 TDO spacecraft,original97,444,444,26.1496,10759.5573,0,,0,2022.9938,2019.6007,2022.9031,,data_fullpool/obj_44482.csv
62189,62189 CZ-3B R/B,original97,52,52,51.3434,7172.5623,0,,0,2025.1431,2024.9224,2025.0638,,data_fullpool/obj_62189.csv
23126,23126 STRV1B,original97,3871,800,7.1820,12241.1093,0,,0,2025.3457,1994.4623,2024.3493,,data_fullpool/obj_23126.csv
26463,26463 ClusterII-FM5,original97,3372,800,129.8231,12905.9268,1,2000.6096,1,2025.8056,2000.6057,2025.8017,,data_fullpool/obj_26463.csv
42908,42908 BreezeM deb tank,original97,2102,800,48.2202,5434.4615,0,,0,2026.3066,2017.6271,2026.3053,,data_fullpool/obj_42908.csv
41686,41686 SL-12 deb,original97,422,422,64.3113,9917.4813,0,,0,2025.3457,2016.5650,2021.0643,,data_fullpool/obj_41686.csv
42977,42977 SL-12 deb,original97,291,291,64.8732,9978.9928,0,,0,2025.3457,2017.7951,2019.1724,,data_fullpool/obj_42977.csv
43685,43685 SL-12 deb,original97,80,80,64.6584,9955.8342,0,,0,2025.3457,2018.8691,2019.3462,,data_fullpool/obj_43685.csv
44555,44555 SL-12 deb,original97,47,47,65.4400,10038.0089,0,,0,2025.3457,2019.7470,2020.0063,,data_fullpool/obj_44555.csv
45494,45494 SL-12 deb,original97,285,285,64.8074,9971.9406,0,,0,2025.3484,2020.2816,2022.8125,,data_fullpool/obj_45494.csv
45495,45495 SL-12 deb,original97,337,337,64.9061,9982.4992,0,,0,2025.3484,2020.2738,2021.8277,,data_fullpool/obj_45495.csv
45499,45499 SL-12 deb,original97,337,337,64.7288,9963.4729,0,,0,2025.3484,2020.2735,2022.8858,,data_fullpool/obj_45499.csv
15,EXPLORER 6,expanded180,8,8,46.9695,3935.6695,0,,0,1961.4935,1959.0269,1959.7430,,data_fullpool/obj_15.csv
170,EXPLORER 12,expanded180,3,3,33.5760,9522.3363,0,,0,1963.7440,1961.6219,1962.0151,,data_fullpool/obj_170.csv
675,ERS 12,expanded180,7,7,35.8995,9001.9710,0,,0,1966.0958,1964.1125,1964.9356,,data_fullpool/obj_675.csv
838,ERS 13,expanded180,6,6,38.0351,8436.5433,0,,0,1966.0000,1964.5413,1965.6589,,data_fullpool/obj_838.csv
1621,MOLNIYA 1-2,expanded180,12,12,65.0158,9994.1222,0,,0,1967.2047,1965.7941,1966.7788,,data_fullpool/obj_1621.csv
2501,MOLNIYA 1-4,expanded180,42,42,64.8574,9977.3046,0,,0,1968.6940,1966.8520,1968.5036,,data_fullpool/obj_2501.csv
3145,ATLAS AGENA D R/B,expanded180,662,662,48.9698,5983.8183,0,,0,2011.0459,1968.6810,2011.0468,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_3145.csv
3619,COSMOS 260,expanded180,190,190,65.0050,9992.9790,0,,0,1973.5181,1968.9933,1973.4022,,data_fullpool/obj_3619.csv
5689,SL-6 R/B(2),expanded180,134,134,65.4586,10039.8900,0,,0,1974.0110,1971.9533,1973.9446,,data_fullpool/obj_5689.csv
5878,ATLAS CENTAUR R/B(1),expanded180,24,24,31.4405,9935.1616,0,,0,1972.6283,1972.2200,1972.5607,,data_fullpool/obj_5878.csv
5988,DELTA 1 DEB *,expanded180,445,445,26.3208,10736.5421,0,,0,1993.0773,1971.6428,1979.0811,,data_fullpool/obj_5988.csv
6034,SL-6 R/B(2),expanded180,229,229,65.3383,10027.6351,0,,0,1977.4141,1972.4104,1977.3557,,data_fullpool/obj_6034.csv
6364,PROGNOZ 3,expanded180,12,12,65.0020,9992.6655,0,,0,1977.9398,1976.5108,1976.5108,,data_fullpool/obj_6364.csv
6426,ATLAS CENTAUR R/B(1),expanded180,19,19,37.1146,8692.4103,0,,0,1974.8405,1973.3965,1974.0354,,data_fullpool/obj_6426.csv
6741,SL-6 R/B(2),expanded180,169,169,65.5729,10051.4086,0,,0,1978.7146,1973.5556,1978.4255,,data_fullpool/obj_6741.csv
6815,SL-6 R/B(2),expanded180,187,187,65.3308,10026.8718,0,,0,1979.9247,1973.7135,1978.9440,,data_fullpool/obj_6815.csv
7096,SKYNET 2A,expanded180,5,5,35.3616,9130.1144,1,1974.0541,1,1974.0657,1974.0501,1974.0634,,data_fullpool/obj_7096.csv
9888,COSMOS 862 DEB,expanded180,33,33,64.0837,9891.6810,0,,0,1994.5257,1977.2335,1992.6073,,data_fullpool/obj_9888.csv
9892,COSMOS 862 DEB,expanded180,5990,800,66.3442,10126.0415,0,,0,1995.1170,1977.2334,2010.8254,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_9892.csv
9893,COSMOS 862 DEB,expanded180,7,7,62.9679,9757.6772,0,,0,1994.4381,1977.2306,1977.2660,,data_fullpool/obj_9893.csv
9894,COSMOS 862 DEB,expanded180,10,10,64.0839,9891.7106,0,,0,1993.3867,1977.2334,1978.5912,,data_fullpool/obj_9894.csv
10422,ISEE 1,expanded180,498,498,34.3743,9352.8734,0,,0,1987.7331,1977.8220,1987.7221,,data_fullpool/obj_10422.csv
10423,ISEE 2,expanded180,433,433,33.7912,9477.5346,0,,0,1987.7331,1977.8220,1987.7221,,data_fullpool/obj_10423.csv
14095,EXOSAT,expanded180,136,136,72.0723,10524.7505,0,,0,1986.3422,1983.3982,1986.3425,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_14095.csv
14301,COSMOS 1456 DEB,expanded180,66,66,63.6354,9839.3742,0,,0,1998.3532,1983.6495,1985.0128,,data_fullpool/obj_14301.csv
14306,COSMOS 1456 DEB,expanded180,38,38,64.0543,9888.3136,0,,0,1997.8412,1983.6359,1994.3866,,data_fullpool/obj_14306.csv
15201,UKS 1 (AMPTE),expanded180,21,21,26.9534,10649.6128,0,,0,1988.9350,1984.6277,1997.2690,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_15201.csv
18954,ARIANE 3 DEB (SYLDA),expanded180,27,27,6.9004,12249.7177,1,1989.0381,1,1989.0856,1988.2019,1989.0437,,data_fullpool/obj_18954.csv
20352,GRANAT,expanded180,333,333,77.2662,10669.8064,0,,0,1999.3936,1989.9397,1999.3847,,data_fullpool/obj_20352.csv
23658,ATLAS 2AS CENTAUR R/B,expanded180,10,10,22.9502,11151.4093,0,,0,1996.1136,1995.9110,1995.9887,,data_fullpool/obj_23658.csv
23780,ATLAS 2AS CENTAUR R/B,expanded180,5,5,21.8396,11271.7125,0,,0,1996.0890,1996.0855,1996.0909,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_23780.csv
23804,DELTA 2 R/B(2),expanded180,43,43,86.1238,10446.2668,0,,0,1996.9185,1996.1498,1996.5285,,data_fullpool/obj_23804.csv
24210,ARIANE 44L+3 R/B,expanded180,21,21,5.4345,12288.8934,0,,0,1996.6064,1996.6040,1996.6090,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_24210.csv
24835,CZ-3A R/B,expanded180,27,27,28.5763,10412.0305,0,,0,1997.4387,1997.4408,1997.4408,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_24835.csv
24881,ATLAS 2AS CENTAUR R/B,expanded180,3,3,25.6086,10830.8193,0,,0,1998.5257,1997.5685,1997.5793,,data_fullpool/obj_24881.csv
24933,ARIANE 44LP R/B,expanded180,27,27,6.9290,12248.8600,0,,0,1997.6742,1997.6719,1997.6815,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_24933.csv
25355,CZ-3B R/B,expanded180,10,10,23.0200,11143.5880,0,,0,1998.7748,1998.4108,1998.7764,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_25355.csv
25631,ATLAS 2AS CENTAUR R/B,expanded180,4,4,23.4951,11089.5377,0,,0,1999.2047,1999.1233,1999.1256,,data_fullpool/obj_25631.csv
26465,FREGAT R/B,expanded180,3,3,64.8325,9974.6368,0,,0,2000.6037,2000.6051,2000.6056,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_26465.csv
27900,COSMOS 1217 DEB,expanded180,77,77,66.4803,10138.6562,0,,0,2020.8966,2003.5952,2004.3867,,data_fullpool/obj_27900.csv
29641,CZ-3A R/B,expanded180,7,7,5.7919,12280.2124,0,,0,2006.9363,2006.9368,2006.9442,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_29641.csv
32039,BREEZE-M DEB,expanded180,30,30,50.5979,6857.2634,0,,0,2008.0096,2007.5814,2008.0070,,data_fullpool/obj_32039.csv
35813,CZ-3B R/B,expanded180,11,11,22.3319,11219.3292,0,,0,2009.6687,2009.6640,2009.6693,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_35813.csv
38587,BREEZE-M DEB,expanded180,130,130,49.0163,6013.8014,0,,0,2025.0089,2012.4980,2013.5360,,data_fullpool/obj_38587.csv
41553,FALCON 9 R/B,expanded180,456,456,22.0505,11249.4526,0,,0,2019.0130,2016.4018,2019.0107,Falcon 9 -- active deorbit/passivation burns possible (drag-only model may not apply),data_fullpool/obj_41553.csv
42979,SL-12 DEB,expanded180,883,800,64.9335,9985.4127,0,,0,2025.3457,2017.7948,2022.8268,,data_fullpool/obj_42979.csv
42985,FALCON 9 R/B,expanded180,426,426,22.1620,11237.5748,1,2018.8068,1,2018.8186,2017.8299,2018.8193,Falcon 9 -- active deorbit/passivation burns possible (drag-only model may not apply); inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_42985.csv
44187,FALCON 9 R/B,expanded180,94,94,21.0777,11349.8929,1,2021.4484,1,2021.4524,2019.2762,2021.4484,Falcon 9 -- active deorbit/passivation burns possible (drag-only model may not apply),data_fullpool/obj_44187.csv
45464,TDO 2 SPACECRAFT,expanded180,79,79,26.5062,10711.3844,0,,0,2022.7392,2020.2331,2020.2349,,data_fullpool/obj_45464.csv
45497,SL-12 DEB,expanded180,534,534,64.7582,9966.6439,0,,0,2025.3484,2020.2714,2022.7170,,data_fullpool/obj_45497.csv
56758,FALCON 9 R/B,expanded180,277,277,27.9782,10502.1168,0,,0,2024.6475,2023.3999,2024.1820,Falcon 9 -- active deorbit/passivation burns possible (drag-only model may not apply),data_fullpool/obj_56758.csv
60607,CZ-7A R/B,expanded180,21,21,14.6576,11880.3485,0,,0,2025.0007,2024.6601,2024.7106,,data_fullpool/obj_60607.csv
64785,FALCON 9 R/B,expanded180,5,5,24.2056,11005.9604,0,,0,2025.5318,2025.5301,2025.5310,Falcon 9 -- active deorbit/passivation burns possible (drag-only model may not apply),data_fullpool/obj_64785.csv
68538,ARTEMIS 2 (INTEGRITY),expanded180,13,13,33.6157,9514.1128,1,2026.2491,1,2026.2710,2026.2490,2026.2735,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_68538.csv
889,EXPLORER 21 (IMP-2),expanded180,8,8,33.7361,9489.0575,0,,0,1966.0794,1964.8126,1965.8863,,data_fullpool/obj_889.csv
2817,EXPLORER 34 (IMP-4),expanded180,8,8,69.2960,10364.3691,0,,0,1969.3347,1967.3925,1969.1321,,data_fullpool/obj_2817.csv
2822,MOLNIYA 1-5,expanded180,219,219,64.8240,9973.7305,0,,0,1971.9001,1967.3949,1971.8404,,data_fullpool/obj_2822.csv
3429,ERS 28 (OV5-2),expanded180,18,18,25.9396,10787.4710,0,,0,1971.1225,1968.9889,1970.1827,,data_fullpool/obj_3429.csv
4336,MOLNIYA 1-13,expanded180,729,729,65.6072,10054.8397,0,,0,1975.7413,1970.1485,1975.6267,,data_fullpool/obj_4336.csv
4779,MOLNIYA 1-16,expanded180,516,516,65.4947,10043.5444,0,,0,1975.8973,1970.9095,1975.5582,,data_fullpool/obj_4779.csv
4829,MOLNIYA 1-17,expanded180,257,257,65.0549,9998.2410,0,,0,1975.9713,1971.0065,1972.4460,,data_fullpool/obj_4829.csv
5043,EXPLORER 43 (IMP-6),expanded180,4,4,30.7730,10053.5302,0,,0,1974.7502,1971.2567,1971.3525,,data_fullpool/obj_5043.csv
5367,MOLNIYA 1-18,expanded180,554,554,65.5111,10045.1935,0,,0,1977.5455,1971.5814,1977.4872,,data_fullpool/obj_5367.csv
5620,MOLNIYA 2-1,expanded180,222,222,65.4886,10042.9242,0,,0,1976.3546,1971.8945,1973.7535,,data_fullpool/obj_5620.csv
5941,PROGNOZ 1,expanded180,13,13,64.9277,9984.7978,1,1975.6454,1,1980.0479,1972.2836,1975.6454,,data_fullpool/obj_5941.csv
6031,MOLNIYA 2-2,expanded180,230,230,65.4690,10040.9472,0,,0,1977.2197,1972.3797,1977.1723,,data_fullpool/obj_6031.csv
6208,MOLNIYA 2-3,expanded180,423,423,65.4780,10041.8490,0,,0,1978.0301,1972.7766,1977.8867,,data_fullpool/obj_6208.csv
6231,MOLNIYA 1-21,expanded180,408,408,65.4106,10035.0184,1,1972.8241,1,1977.8330,1972.7854,1977.7185,,data_fullpool/obj_6231.csv
6294,MOLNIYA 1-22,expanded180,219,219,65.0605,9998.8265,1,1976.0803,1,1976.1109,1973.0212,1976.1062,,data_fullpool/obj_6294.csv
6308,MOLNIYA 2-4,expanded180,120,120,65.4654,10040.5816,0,,0,1975.0349,1973.0211,1974.9544,,data_fullpool/obj_6308.csv
6356,MOLNIYA 1-23,expanded180,274,274,65.0773,10000.5856,0,,0,1977.8084,1973.1066,1977.6323,,data_fullpool/obj_6356.csv
6418,MOLNIYA 2-5,expanded180,325,325,65.4666,10040.6979,0,,0,1979.0130,1973.2942,1978.8001,,data_fullpool/obj_6418.csv
6805,MOLNIYA 1-24,expanded180,277,277,65.4935,10043.4243,0,,0,1979.9247,1973.6967,1979.0737,,data_fullpool/obj_6805.csv
6877,MOLNIYA 2-7,expanded180,887,800,64.6724,9957.3564,0,,0,1983.5140,1973.7987,1983.3900,,data_fullpool/obj_6877.csv
6932,MOLNIYA 1-25,expanded180,264,264,65.2104,10014.4573,0,,0,1979.4237,1973.9075,1979.4240,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_6932.csv
7248,SL-12 R/B(AUX MOTOR),expanded180,99,99,47.0456,4073.6624,0,,0,1976.8747,1974.2425,1976.6727,,data_fullpool/obj_7248.csv
